joined_StudyID_Control,Control,What is the type of control treatment?,What other control did they use?,Is the volume of the added control-suspension reported?,Is the volume of the control-suspension matched to the TMZ-suspension?,StudyIdStr
65125fda-7b0f-44e5-8f71-2505146d4f2e TRUE,TRUE,DMSO,,FALSE,NA,65125fda-7b0f-44e5-8f71-2505146d4f2e
65b98083-98fc-469f-bd94-4a2074894498 TRUE,TRUE,DMSO,,FALSE,NA,65b98083-98fc-469f-bd94-4a2074894498
65e0c64b-fd79-4f96-b170-ef785d6aa038 TRUE,TRUE,DMSO,,FALSE,NA,65e0c64b-fd79-4f96-b170-ef785d6aa038
6609317e-1707-409d-a88f-9f7101cdbc4b TRUE,TRUE,not reported,,FALSE,NA,6609317e-1707-409d-a88f-9f7101cdbc4b
66cb1b02-278c-447d-a677-1ec012401dac TRUE,TRUE,not reported,,FALSE,NA,66cb1b02-278c-447d-a677-1ec012401dac
672fe86b-5b54-48fe-b85e-20e6e9af8a37 TRUE,TRUE,not reported,,FALSE,NA,672fe86b-5b54-48fe-b85e-20e6e9af8a37
6c82fe2d-af65-4466-aaff-0cb0287e58dd TRUE,TRUE,not reported,,FALSE,NA,6c82fe2d-af65-4466-aaff-0cb0287e58dd
6d0d55bd-4206-4392-ba03-1f97fa9a84fe TRUE,TRUE,not reported,,FALSE,NA,6d0d55bd-4206-4392-ba03-1f97fa9a84fe
6f3a6613-897c-4bb6-9f5a-a510bf1ec6ad TRUE,TRUE,not reported,,FALSE,NA,6f3a6613-897c-4bb6-9f5a-a510bf1ec6ad
6ff3ffed-9aa8-4cb8-b627-58167d051aa9 TRUE,TRUE,DMSO,,FALSE,NA,6ff3ffed-9aa8-4cb8-b627-58167d051aa9
7021fc36-9b7f-4195-af23-2b08ef9541af TRUE,TRUE,DMSO,,FALSE,NA,7021fc36-9b7f-4195-af23-2b08ef9541af
71917ccc-72d3-4c44-b454-3c0a9aadfbcb TRUE,TRUE,DMSO,,FALSE,NA,71917ccc-72d3-4c44-b454-3c0a9aadfbcb
73124c38-128e-49cc-8c2e-a5c3363b911e TRUE,TRUE,not reported,,FALSE,NA,73124c38-128e-49cc-8c2e-a5c3363b911e
7786d6d4-34ce-406f-9f90-ac4695aa0ac8 TRUE,TRUE,DMSO,,FALSE,NA,7786d6d4-34ce-406f-9f90-ac4695aa0ac8
7ac572dd-593a-45e8-bbdc-2908206558b2 TRUE,TRUE,not reported,,FALSE,NA,7ac572dd-593a-45e8-bbdc-2908206558b2
7c3ed203-d964-44e5-ac75-871625a46c55 TRUE,TRUE,not reported,,FALSE,NA,7c3ed203-d964-44e5-ac75-871625a46c55
803a5cdf-ab6b-4f76-b286-35a14c443612 TRUE,TRUE,DMSO,,FALSE,NA,803a5cdf-ab6b-4f76-b286-35a14c443612
828c1097-b791-43fe-9bf8-3cc8b020bdd7 TRUE,TRUE,not reported,,FALSE,NA,828c1097-b791-43fe-9bf8-3cc8b020bdd7
8348eaa2-160b-49e9-9a8a-cab250a0a730 TRUE,TRUE,not reported,NA,FALSE,NA,8348eaa2-160b-49e9-9a8a-cab250a0a730
86d1eac3-4f54-4d81-bd3d-673f115de939 TRUE,TRUE,not reported,,FALSE,NA,86d1eac3-4f54-4d81-bd3d-673f115de939
8ac4c81e-cc63-4d82-8281-1bbd8ded58fd TRUE,TRUE,not reported,,FALSE,NA,8ac4c81e-cc63-4d82-8281-1bbd8ded58fd
8b82677b-2876-410c-8bb2-297b92608121 TRUE,TRUE,DMSO,,FALSE,NA,8b82677b-2876-410c-8bb2-297b92608121
8b9ae2a8-c96e-483f-acb0-5fba62c8af38 TRUE,TRUE,not reported,,FALSE,NA,8b9ae2a8-c96e-483f-acb0-5fba62c8af38
90666892-d59e-4a37-be2b-4c003e810827 TRUE,TRUE,not reported,,FALSE,NA,90666892-d59e-4a37-be2b-4c003e810827
91eebf00-13ac-472f-9f48-cc8989f83c95 TRUE,TRUE,DMSO,,FALSE,NA,91eebf00-13ac-472f-9f48-cc8989f83c95
932116ba-5dd7-42dc-be8b-0056f998b9c8 TRUE,TRUE,DMSO,,FALSE,NA,932116ba-5dd7-42dc-be8b-0056f998b9c8
943294a2-8777-482b-ac29-181e35f52192 TRUE,TRUE,not reported,,FALSE,NA,943294a2-8777-482b-ac29-181e35f52192
945a766c-cc8f-4479-9db0-aade32bc15b9 TRUE,TRUE,not reported,,FALSE,NA,945a766c-cc8f-4479-9db0-aade32bc15b9
97f8af00-a756-49b0-b3f5-f76858ae5dbe TRUE,TRUE,not reported,,FALSE,NA,97f8af00-a756-49b0-b3f5-f76858ae5dbe
9a9433d1-7245-4510-9f56-8032ad295081 TRUE,TRUE,not reported,NA,FALSE,NA,9a9433d1-7245-4510-9f56-8032ad295081
9c39873d-c167-42cd-9fd5-7c3e92bf7ffa TRUE,TRUE,not reported,,FALSE,NA,9c39873d-c167-42cd-9fd5-7c3e92bf7ffa
9cb3f84c-86a8-42e7-9237-77684a4af6ec TRUE,TRUE,other,media only,FALSE,NA,9cb3f84c-86a8-42e7-9237-77684a4af6ec
9f69cc7c-6213-447a-8b4f-d0b3d080596a TRUE,TRUE,DMSO,,FALSE,NA,9f69cc7c-6213-447a-8b4f-d0b3d080596a
a21e9270-0aa7-4563-9499-5a6ea72b652e TRUE,TRUE,not reported,,FALSE,NA,a21e9270-0aa7-4563-9499-5a6ea72b652e
a47caeef-d61b-4b62-9781-d0a59f1bdf0c TRUE,TRUE,DMSO,,FALSE,NA,a47caeef-d61b-4b62-9781-d0a59f1bdf0c
a5eea77e-d942-42de-9d14-318ea8c5a802 TRUE,TRUE,not reported,,FALSE,NA,a5eea77e-d942-42de-9d14-318ea8c5a802
a729a71e-a8ac-4201-98fc-13363c7932a6 TRUE,TRUE,not reported,,FALSE,NA,a729a71e-a8ac-4201-98fc-13363c7932a6
a72e4b21-2294-41cd-b386-f4c69d93481e TRUE,TRUE,DMSO,,FALSE,NA,a72e4b21-2294-41cd-b386-f4c69d93481e
ad1b25e3-3281-4c87-89c2-d3894df7a33a TRUE,TRUE,not reported,,FALSE,NA,ad1b25e3-3281-4c87-89c2-d3894df7a33a
afeaea9e-1bb7-4314-881a-ea9811b22186 TRUE,TRUE,not reported,,FALSE,NA,afeaea9e-1bb7-4314-881a-ea9811b22186
b1c376e5-7358-4b31-b62c-d878e7c9ce68 TRUE,TRUE,DMSO,,FALSE,NA,b1c376e5-7358-4b31-b62c-d878e7c9ce68
b1c9aa20-6bae-4900-9ebd-e009dcf7628b TRUE,TRUE,other,media only,FALSE,NA,b1c9aa20-6bae-4900-9ebd-e009dcf7628b
b3599eec-a611-4133-8030-42371542a2ef TRUE,TRUE,not reported,NA,FALSE,NA,b3599eec-a611-4133-8030-42371542a2ef
b44673a3-7db7-44ef-a555-4b6b9a049f9b TRUE,TRUE,DMSO,,FALSE,NA,b44673a3-7db7-44ef-a555-4b6b9a049f9b
b4dae4ce-99ef-413e-accc-8f6c58fea931 TRUE,TRUE,not reported,,FALSE,NA,b4dae4ce-99ef-413e-accc-8f6c58fea931
b5a1af17-52df-4ecc-997c-68d8919c2d83 TRUE,TRUE,not reported,,FALSE,NA,b5a1af17-52df-4ecc-997c-68d8919c2d83
bb056e51-f833-4bbc-a8f1-eecfe62bf9c9 TRUE,TRUE,not reported,,FALSE,NA,bb056e51-f833-4bbc-a8f1-eecfe62bf9c9
bbcbd017-25aa-424b-9363-4c7ef5a52d7b TRUE,TRUE,DMSO,,FALSE,NA,bbcbd017-25aa-424b-9363-4c7ef5a52d7b
bf81dcce-7a42-4509-af83-30521c164d77 TRUE,TRUE,not reported,,FALSE,NA,bf81dcce-7a42-4509-af83-30521c164d77
c1683855-0076-441f-99c7-0cdc8e3873f1 TRUE,TRUE,other,Media,FALSE,NA,c1683855-0076-441f-99c7-0cdc8e3873f1
c2320d09-2c4f-413e-b3e3-a2f5a896a357 TRUE,TRUE,DMSO,,FALSE,NA,c2320d09-2c4f-413e-b3e3-a2f5a896a357
c23a74cd-5366-43a3-9328-b684438a02d2 TRUE,TRUE,not reported,,FALSE,NA,c23a74cd-5366-43a3-9328-b684438a02d2
c70fc84a-003c-492c-85d3-bafa0fdbf122 TRUE,TRUE,not reported,,FALSE,NA,c70fc84a-003c-492c-85d3-bafa0fdbf122
c92f3d8e-63b4-4fa6-a009-a4cc5bdd71fc TRUE,TRUE,not reported,,FALSE,NA,c92f3d8e-63b4-4fa6-a009-a4cc5bdd71fc
cc7b32c6-5485-4ed8-90cf-562706fa6955 TRUE,TRUE,not reported,,FALSE,NA,cc7b32c6-5485-4ed8-90cf-562706fa6955
cd442914-dc00-4830-a343-658924849695 TRUE,TRUE,DMSO,,FALSE,NA,cd442914-dc00-4830-a343-658924849695
cd9cc8b6-ff29-4acd-a1d6-4b1c4764daad TRUE,TRUE,not reported,NA,FALSE,NA,cd9cc8b6-ff29-4acd-a1d6-4b1c4764daad
cea51952-de58-4120-8cc1-dc6a2a441661 TRUE,TRUE,DMSO,,FALSE,NA,cea51952-de58-4120-8cc1-dc6a2a441661
cfce2e42-f3af-4fbf-b146-829d6c4ddb9e TRUE,TRUE,DMSO,NA,FALSE,NA,cfce2e42-f3af-4fbf-b146-829d6c4ddb9e
d033365b-a968-4559-ab12-2ea17e5908e1 TRUE,TRUE,not reported,,FALSE,NA,d033365b-a968-4559-ab12-2ea17e5908e1
d0b94a30-f0a6-4b12-9256-a6de9c8ca597 TRUE,TRUE,not reported,,FALSE,NA,d0b94a30-f0a6-4b12-9256-a6de9c8ca597
d2d89a0d-36f5-4b24-a5bb-47d2639d31d4 TRUE,TRUE,not reported,,FALSE,NA,d2d89a0d-36f5-4b24-a5bb-47d2639d31d4
d306050e-218a-4db8-bbc0-3a174f59beae TRUE,TRUE,not reported,,FALSE,NA,d306050e-218a-4db8-bbc0-3a174f59beae
d35a2ba9-5cdd-4314-aa6c-b2e3b01d3f6b TRUE,TRUE,not reported,,FALSE,NA,d35a2ba9-5cdd-4314-aa6c-b2e3b01d3f6b
d44f6fda-2053-49b0-a99e-b15975841e14 TRUE,TRUE,not reported,,FALSE,NA,d44f6fda-2053-49b0-a99e-b15975841e14
d4ac184c-157a-48f5-a6dc-4b063a5e39e4 TRUE,TRUE,not reported,,FALSE,NA,d4ac184c-157a-48f5-a6dc-4b063a5e39e4
d584db75-fc52-4781-8280-3e89a1e6ace0 TRUE,TRUE,not reported,,FALSE,NA,d584db75-fc52-4781-8280-3e89a1e6ace0
d5df5767-86c8-4c6b-96d0-acad2db2d863 TRUE,TRUE,DMSO,,FALSE,NA,d5df5767-86c8-4c6b-96d0-acad2db2d863
d7b2b063-f0a5-496a-92f0-bb7a5920e241 TRUE,TRUE,not reported,,FALSE,NA,d7b2b063-f0a5-496a-92f0-bb7a5920e241
d96e3310-73e6-4d24-b7cb-bdcaf1ec0efd TRUE,TRUE,media & PBS,,FALSE,NA,d96e3310-73e6-4d24-b7cb-bdcaf1ec0efd
de2d96d2-bbff-462a-b344-fa179031f126 TRUE,TRUE,not reported,,FALSE,NA,de2d96d2-bbff-462a-b344-fa179031f126
e1b12f59-eddd-46a8-871e-fc28b5d14d06 TRUE,TRUE,DMSO,,FALSE,NA,e1b12f59-eddd-46a8-871e-fc28b5d14d06
e3d07e37-7606-446e-bac2-39fbda6d045d TRUE,TRUE,other,Medium & FBS,FALSE,NA,e3d07e37-7606-446e-bac2-39fbda6d045d
e655f8ff-ca46-4d8e-b718-9d613cec8733 TRUE,TRUE,not reported,,FALSE,NA,e655f8ff-ca46-4d8e-b718-9d613cec8733
e663f863-adf2-419b-ada9-bebffcdfd05a TRUE,TRUE,not reported,,FALSE,NA,e663f863-adf2-419b-ada9-bebffcdfd05a
e76f5704-1e0d-4416-97d8-f47b618ccd3d TRUE,TRUE,not reported,,FALSE,NA,e76f5704-1e0d-4416-97d8-f47b618ccd3d
e8c88cd2-830a-4b62-95e8-18fdeaa25347 TRUE,TRUE,not reported,,FALSE,NA,e8c88cd2-830a-4b62-95e8-18fdeaa25347
e97857cd-aa4e-4af4-9448-6f6973fd6755 TRUE,TRUE,not reported,,FALSE,NA,e97857cd-aa4e-4af4-9448-6f6973fd6755
ead849ed-5eaa-4015-a924-d03a30dbfebb TRUE,TRUE,not reported,,FALSE,NA,ead849ed-5eaa-4015-a924-d03a30dbfebb
ee686ee8-038b-47d2-9995-37183f9c51be TRUE,TRUE,not reported,,FALSE,NA,ee686ee8-038b-47d2-9995-37183f9c51be
f04bbf0d-ad97-456f-b72e-d979a3d06abd TRUE,TRUE,DMSO,,FALSE,NA,f04bbf0d-ad97-456f-b72e-d979a3d06abd
f0c825a5-5083-4867-8af2-38cf451117c6 TRUE,TRUE,DMSO,,FALSE,NA,f0c825a5-5083-4867-8af2-38cf451117c6
f2a0de99-cc26-41ee-9b95-269ba42b2051 TRUE,TRUE,DMSO,,FALSE,NA,f2a0de99-cc26-41ee-9b95-269ba42b2051
f3d71ce9-7c96-4de2-aec1-9d4e3cdb959a TRUE,TRUE,not reported,,FALSE,NA,f3d71ce9-7c96-4de2-aec1-9d4e3cdb959a
f519c5fc-9a40-4cd0-a437-e65cd2097d33 TRUE,TRUE,media & PBS,,TRUE,TRUE,f519c5fc-9a40-4cd0-a437-e65cd2097d33
f6ee1fa2-27e8-423e-b13d-1c8935438f4f TRUE,TRUE,DMSO,,FALSE,NA,f6ee1fa2-27e8-423e-b13d-1c8935438f4f
f72cceb0-db8a-40e0-b989-887271dc61ec TRUE,TRUE,not reported,,FALSE,NA,f72cceb0-db8a-40e0-b989-887271dc61ec
fa97ee03-bef2-4837-9b71-15bf91056323 TRUE,TRUE,not reported,,FALSE,NA,fa97ee03-bef2-4837-9b71-15bf91056323
fd93d05d-13dc-42fe-871c-5e020977592a TRUE,TRUE,DMSO,,FALSE,NA,fd93d05d-13dc-42fe-871c-5e020977592a
ff2133b8-10bc-415d-b23a-e4327f028d59 TRUE,TRUE,media & PBS,,FALSE,NA,ff2133b8-10bc-415d-b23a-e4327f028d59
